word,n
crashed,3214
aircraft,2403
plane,1839
flight,1173
pilot,1101
approach,942
engine,941
runway,915
failure,880
crew,752
landing,732
airport,624
altitude,610
weather,605
mountain,558
takeoff,548
conditions,540
taking,536
land,522
struck,510
control,505
ground,495
cargo,476
fire,467
route,455
miles,439
attempting,433
en,403
ft,402
left,360
poor,357
lost,346
shortly,346
accident,341
air,333
loss,333
fog,329
killed,323
failed,317
due,312
feet,311
fuel,310
low,306
short,302
flying,299
terrain,297
wing,278
trees,270
emergency,264
power,254
error,246
minutes,236
descent,234
caused,233
vfr,231
hit,229
sea,223
rain,215
improper,212
maintain,206
heavy,205
flew,192
captain,191
pilot's,189
crash,185
visibility,179
helicopter,178
water,178
engines,174
resulted,174
broke,172
instrument,172
continued,169
flames,167
speed,164
stalled,163
aboard,161
adverse,161
procedures,161
contributing,158
burned,156
attempted,155
collided,152
time,150
collision,149
shot,149
final,145
descended,144
found,142
nose,142
attempt,141
lack,141
gear,139
night,139
visual,139
airplane,138
system,138
turbulence,138
pilots,137
field,136
icing,134
decision,132
hill,130
inadequate,129
caught,128
reported,127
severe,126
ifr,125
resulting,124
causing,121
climb,121
mountains,121
mt,121
stall,120
unknown,120
led,118
fatigue,117
undetermined,116
landed,113
minimum,112
passengers,112
snow,109
factors,106
reasons,106
return,104
wreckage,104
clearance,102
passenger,101
exploded,99
mountainous,99
height,98
attitude,97
descending,96
named,96
burst,95
midair,94
disappeared,93
position,92
propeller,92
steep,92
dc,91
maintenance,91
atc,90
entered,89
thunderstorm,89
river,87
level,85
ocean,84
military,83
contact,82
follow,82
procedure,80
forced,79
north,79
overran,79
aircraft's,78
cabin,78
radio,78
training,78
airspeed,76
avoid,75
cockpit,75
dive,75
lake,75
winds,75
carrying,74
command,74
ice,74
island,74
ran,74
rate,74
safe,74
tail,74
unable,73
warning,73
clouds,72
fly,72
factor,71
ils,71
radar,71
elevator,70
south,68
tower,68
occurred,67
missed,66
approximately,65
prescribed,65
proper,65
fuselage,64
impacted,64
operation,64
overloaded,64
base,63
captain's,63
destination,63
ditched,63
adequate,62
airliner,62
bank,62
experienced,62
result,62
force,61
wooded,61
crew's,60
experiencing,60
flaps,60
crashing,59
planning,59
de,58
main,58
navigational,58
rudder,58
jet,57
killing,57
losing,57
properly,57
rotor,57
separation,57
strong,57
thunderstorms,57
action,56
aborted,55
excessive,55
explosion,55
mile,55
prior,55
city,54
condition,54
controls,54
instruments,54
thrust,54
destroyed,53
disorientation,53
building,52
center,52
cloud,52
impact,52
ridge,52
rolled,52
separated,52
windshear,52
ceiling,51
diverted,51
fighter,51
inadvertent,51
km,51
lights,51
lines,51
pitch,51
structural,51
climbing,50
east,50
insufficient,50
international,50
oil,50
san,50
canyon,49
cessna,49
leading,49
maneuver,49
peak,49
planes,49
storm,49
west,49
encountered,48
gain,48
path,48
rest,48
surface,48
wings,48
jungle,47
mail,47
tank,47
decided,46
design,46
initiated,46
inverted,46
recovery,46
safely,46
bay,45
degrees,45
descend,45
door,45
meteorological,45
observed,45
spatial,45
suffered,45
tree,45
